{'rf_pred': 0, 'rf_prob': 0.31, 'xgb_pred': 0, 'xgb_prob': 0.0557, 'lr_pred': 1, 'lr_prob': 0.9997, 'anomaly': 0, 'error': 0.002139} | NORMAL TRAFFIC | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 1.231576} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 199.526631} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.200195} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.899055} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.42, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.091497} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.339147} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.36, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.062101} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.28, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.307372} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 13.30224} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
